Book#,Type,Title,Language,Bookshelves,Author,rights,Subjects,Read online (web),Plain Text UTF-8,Total # of Sentences,Average sentence length in words,Total number of words,Average word length,Total number of unique words,Total 3letter,Total 4letter,Total 5letter,Total 6letter,Total 7letter,Total 8letter,Total 9letter,Total 10letter,Total 11letter,Total 12letter,Total 13letter,Total 14letter,Total 15letter,Total 16letter,Total 17letter,Total 18letter,Total 19letter,Total 20letter,Total 20plus,dolch_prek_instances,dolch_prek_breadth,dolch_kindergarten_instances,dolch_kindergarten_breadth,dolch_first_instances,dolch_first_breadth,dolch_second_instances,dolch_second_breadth,dolch_third_instances,dolch_third_breadth,Total number of instances of fry sight words in text,Fry Sight Word Breadth,Dialog Ratio,Flesch_Kincaid Grade Score,Flesch_kincaid Reading Ease Score,Total number of nouns,Total number of adjectives,Total number of verbs,Total number of adverbs,Total number of pronouns,Total number of prepositions,Total number of conjunctions,dolch_1st_instances,dolch_1st_breadth,dolch_2nd_instances,dolch_2nd_breadth,dolch_3rd_instances,dolch_3rd_breadth
21,Text,"Aesop's Fables
Translated by George Fyler Townsend",en,Browsing: Culture/Civilization/Society; Browsing: Literature,Aesop,Public domain in the USA.,"Aesop's fables -- Translations into English ; Fables, Greek -- Translations into English ; PA ; PZ",https://www.gutenberg.org/ebooks/21.html.images,https://www.gutenberg.org/ebooks/21.txt.utf-8,1890,21.75,41113,4.19,5422,10983,7504,4301,3080,2606,1703,1080,637,305,126,46,23,4,0,0,0,0,0,0,11422,0.925,4905,0.9615,4944,1,1619,0.9348,736,0.9024,28772,0.7988,49.7844,9.03,69.05,9874,2187,7176,1971,4370,5061,1917,,,,,,
22,Text,Roget's Thesaurus,en,Reference; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Language & Communication; Browsing: Literature,"Roget, Peter Mark",Public domain in the USA.,English language -- Synonyms and antonyms ; PE,https://www.gutenberg.org/ebooks/22.html.images,https://www.gutenberg.org/ebooks/22.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Text,"Narrative of the Life of Frederick Douglass, an American Slave",en,Slavery; African American Writers; Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: History - American,"Douglass, Frederick",Public domain in the USA.,"African American abolitionists -- Biography ; Douglass, Frederick, 1818-1895 ; Enslaved persons -- United States -- Biography ; Abolitionists -- United States -- Biography ; E300",https://www.gutenberg.org/ebooks/23.html.images,https://www.gutenberg.org/ebooks/23.txt.utf-8,2219,18.66,41405,4.25,5154,8799,7159,4685,3288,2627,1644,1308,713,357,223,114,13,7,5,0,0,0,0,0,10773,0.9,5594,0.9615,,,,,,,29573,0.7854,54.6922,8.34,68.51,9398,2832,7308,2220,4688,5530,1754,4812,1,1871,0.9348,764,0.9268
24,Text,O Pioneers!,en,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Cather, Willa",Public domain in the USA.,Swedish Americans -- Fiction ; Frontier and pioneer life -- Nebraska -- Fiction ; Women immigrants -- Fiction ; Nebraska -- Fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; PS ; Historical fiction ; Siblings -- Fiction ; Women pioneers -- Fiction ; Domestic fiction,https://www.gutenberg.org/ebooks/24.html.images,https://www.gutenberg.org/ebooks/24.txt.utf-8,4104,13.93,57161,4.05,5494,14966,11974,6661,4315,3216,1693,1430,497,233,119,45,13,3,1,1,0,0,0,0,14215,0.975,9201,1,,,,,,,42063,0.8335,49.3434,5.43,80.93,12013,3642,11264,3766,7452,6378,2241,6711,1,1948,0.9783,1418,1
25,Text,The 1991 CIA World Factbook,en,CIA World Factbooks; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Politics; Browsing: Travel & Geography,United States. Central Intelligence Agency,Public domain in the USA.,"Political statistics -- Handbooks, manuals, etc. ; World politics -- Handbooks, manuals, etc. ; Political science -- Handbooks, manuals, etc. ; G ; Geography -- Handbooks, manuals, etc.",https://www.gutenberg.org/ebooks/25.html.images,https://www.gutenberg.org/ebooks/25.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Text,Paradise Lost,en,Browsing: Literature; Browsing: Poetry,"Milton, John",Public domain in the USA.,Fall of man -- Poetry ; Eve (Biblical figure) -- Poetry ; Bible. Genesis -- History of Biblical events -- Poetry ; Adam (Biblical figure) -- Poetry ; PR,https://www.gutenberg.org/ebooks/26.html.images,https://www.gutenberg.org/ebooks/26.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Text,Far from the Madding Crowd,en,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Hardy, Thomas",Public domain in the USA.,Triangles (Interpersonal relations) -- Fiction ; Love stories ; Pastoral fiction ; Women farmers -- Fiction ; Farm life -- Fiction ; Wessex (England) -- Fiction ; Didactic fiction ; PR,https://www.gutenberg.org/ebooks/27.html.images,https://www.gutenberg.org/ebooks/27.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Text,"The Fables of Aesop
Selected, Told Anew, and Their History Traced",en,Harvard Classics; Browsing: Culture/Civilization/Society; Browsing: Literature,Aesop,Public domain in the USA.,"Fables, Greek -- Adaptations ; Aesop's fables -- Adaptations ; PA ; PZ",https://www.gutenberg.org/ebooks/28.html.images,https://www.gutenberg.org/ebooks/28.txt.utf-8,772,19.47,15028,4.01,2620,4202,3185,1567,1147,826,479,258,163,65,24,8,4,0,0,0,0,0,0,0,4375,0.925,2145,0.9808,1670,1,545,0.8261,258,0.878,10987,0.6507,45.0178,7.32,77.28,3526,754,2691,783,1465,1663,794,,,,,,
29,Text,The 1990 United States Census,en,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - American; Browsing: Sociology,United States. Bureau of the Census,Public domain in the USA.,United States -- Population -- Statistics ; Housing -- United States -- Statistics ; United States -- Census ; HA,https://www.gutenberg.org/ebooks/29.html.images,https://www.gutenberg.org/ebooks/29.txt.utf-8,5352,5.11,27360,4.04,1241,7627,1813,3269,1579,1819,1531,361,856,254,52,2,0,0,0,50,0,0,0,0,1554,0.125,358,0.0962,,,,,,,7186,0.0441,0,4.16,74.32,9647,2650,3252,150,0,1657,651,1208,0.0976,451,0.0652,0,0
30,Text,"The Bible, King James Version, Complete",en,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,,Public domain in the USA.,Bible ; BS,https://www.gutenberg.org/ebooks/30.html.images,https://www.gutenberg.org/ebooks/30.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Text,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,en,Plays; Best Books Ever Listings; Harvard Classics; Browsing: Literature; Browsing: Performing Arts/Film; Browsing: Fiction,Sophocles,Public domain in the USA.,Antigone (Mythological character) -- Drama ; Tragedies ; Greek drama (Tragedy) -- Translations into English ; Oedipus (Greek mythological figure) -- Drama ; PA,https://www.gutenberg.org/ebooks/31.html.images,https://www.gutenberg.org/ebooks/31.txt.utf-8,3812,9.99,38091,4.15,4927,8242,8287,4771,3332,2602,1395,817,334,131,40,11,2,0,0,0,1,0,0,1,8172,0.875,4662,0.8846,,,,,,,22918,0.6469,51.6386,3.78,85.76,12419,2776,5930,1914,3656,3692,1658,3238,0.9756,1189,0.8913,744,0.878
32,Text,Herland,en,Best Books Ever Listings; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Fiction,"Gilman, Charlotte Perkins",Public domain in the USA.,Women -- Fiction ; Utopias -- Fiction ; Black humor ; PS ; Utopian fiction,https://www.gutenberg.org/ebooks/32.html.images,https://www.gutenberg.org/ebooks/32.txt.utf-8,3373,16,53961,4.27,5929,11398,10674,6518,3903,3222,2128,1624,1012,485,251,100,27,20,2,0,0,0,0,2,13103,0.975,8643,0.9808,,,,,,,39800,0.8415,44.1494,7.23,71.72,10415,4564,9824,4203,6591,6384,2531,5957,1,2601,0.913,1307,0.9756
33,Text,The Scarlet Letter,en,Harvard Classics; Movie Books; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,"Hawthorne, Nathaniel",Public domain in the USA.,"Revenge -- Fiction ; Women immigrants -- Fiction ; Illegitimate children -- Fiction ; Triangles (Interpersonal relations) -- Fiction ; Adultery -- Fiction ; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction ; Married women -- Fiction ; Psychological fiction ; Clergy -- Fiction ; PS ; Puritans -- Fiction ; Historical fiction",https://www.gutenberg.org/ebooks/33.html.images,https://www.gutenberg.org/ebooks/33.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Text,Zen and the Art of the Internet,en,Browsing: Computers & Technology,"Kehoe, Brendan P.",Copyrighted. Read the copyright notice inside this book for details.,Information networks ; Internet ; Computer networks ; TK ; Information retrieval,https://www.gutenberg.org/ebooks/34.html.images,https://www.gutenberg.org/ebooks/34.txt.utf-8,2085,12.67,26419,4.72,4200,5212,4202,2361,2195,2220,1681,1125,739,518,198,111,35,16,4,2,4,0,0,0,5746,0.85,2339,0.8654,,,,,,,14582,0.652,48.0387,8.4,57.42,8752,2027,3893,1036,808,2972,752,1882,0.9756,870,0.8261,344,0.8049
35,Text,The Time Machine,en,Science Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Wells, H. G. (Herbert George)",Public domain in the USA.,Science fiction ; Time travel -- Fiction ; PR ; Dystopias -- Fiction,https://www.gutenberg.org/ebooks/35.html.images,https://www.gutenberg.org/ebooks/35.txt.utf-8,1954,16.83,32892,4.3,4612,7390,5875,3652,2567,2224,1459,995,659,255,195,61,27,6,2,0,0,0,0,0,9537,0.975,4223,0.9423,,,,,,,24039,0.7643,49.8751,7.68,69.97,7083,2580,5755,2093,3583,4341,1573,3534,0.9756,1185,0.913,585,0.9268
36,Text,The War of the Worlds,en,Science Fiction; Movie Books; Browsing: History - Warfare; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,"Wells, H. G. (Herbert George)",Public domain in the USA.,Imaginary wars and battles -- Fiction ; Mars (Planet) -- Fiction ; Space warfare -- Fiction ; Science fiction ; Martians -- Fiction ; Life on other planets -- Fiction ; War stories ; PR,https://www.gutenberg.org/ebooks/36.html.images,https://www.gutenberg.org/ebooks/36.txt.utf-8,3424,17.82,61023,4.37,6775,13957,10584,6950,5268,4508,2988,1844,1083,482,250,109,34,6,6,1,0,0,0,0,16409,0.95,7637,0.9808,,,,,,,42962,0.8485,42.4423,8.08,68.91,14563,4330,10556,3328,5230,8556,2998,6553,0.9756,2066,0.9348,931,0.9512
37,Text,The 1990 United States Census [2nd],en,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - American,United States. Bureau of the Census,Public domain in the USA.,United States -- Census ; Housing -- United States -- Statistics ; United States -- Population -- Statistics ; HA,https://www.gutenberg.org/ebooks/37.html.images,https://www.gutenberg.org/ebooks/37.txt.utf-8,5462,5.19,28349,4.04,1318,7923,1869,3358,1648,1883,1602,381,878,263,55,4,0,0,0,51,0,0,0,0,1594,0.15,376,0.1346,,,,,,,7390,0.0542,0,4.21,74.16,10079,2703,3318,154,0,1694,665,1234,0.0976,463,0.087,0,0
38,Text,"The Jargon File, Version 2.9.10, 01 Jul 1992",en,Browsing: Computers & Technology; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Humour,,Public domain in the USA.,Computers -- Slang -- Dictionaries ; Computers -- Humor ; TK ; Electronic data processing -- Terminology -- Humor,https://www.gutenberg.org/ebooks/38.html.images,https://www.gutenberg.org/ebooks/38.txt.utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Text,Hitchhiker's Guide to the Internet,en,Browsing: Computers & Technology,"Krol, Ed",Copyrighted. Read the copyright notice inside this book for details.,Internet ; Computer networks ; TK,https://www.gutenberg.org/ebooks/39.html.images,https://www.gutenberg.org/ebooks/39.txt.utf-8,531,14.6,7750,4.65,1642,1666,1158,716,553,681,549,315,180,117,50,25,23,9,1,0,0,0,0,0,1871,0.75,689,0.6923,,,,,,,4404,0.3952,51.1345,8.67,58.9,2493,546,1241,288,200,887,221,530,0.8293,274,0.6739,117,0.4878
